AssemblyAccession	Organism	Submitter	AssemblyStatus	BioSample	BioProject	ReleaseDate	RefSeq_category
GCF_035014345.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014285.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014265.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014225.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014235.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014205.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014185.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014165.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014145.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014125.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014085.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014055.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014045.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014025.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035014005.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013985.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013955.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013945.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013925.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013905.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013885.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013865.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013845.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013825.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
GCF_035013805.1	Xanthomonas campestris pv. raphani (g-proteobacteria)	Contig	na
